Comentário;Sentimento
atendimento foi eficiente e bom;Positivo
Ótimo atendimento!;Positivo
Só precisa de melhorar as visualização está muito fraca?;Positivo
Tudo resolvido!;Positivo
Rápido e prático;Positivo
Atendimento de excelente qualidade;Positivo
Demora de 3 horas para atender, mas atendimento rápido.;Neutro
"Preciso de ajuda.
Preciso vender.
Pra Mater em dia 
Nossa parceria";Neutro
atendimento rapido e eficaz;Positivo
Gostei do Feedback foi rápido e já me retornaram com algumas opções de melhoria.;Positivo
Agilidade e clareza nas respostas;Positivo
Sou cliente Viva Real da Plataforma de vcs entraram com meu celular e e-mail na Olx com alguns anúncios e preciso saber quem está usando meus dados já mandei mensagem e e-mail para os Srs e até agora sem resposta por favor preciso de suporte Obrigada Deus abençoe;Negativo
Apesar da demora, fui bem atendida;Positivo
Deveriam ser mais atenciosos nas informações recebidas. O atraso no pagamento não significa desistência do contrato. No meu caso foram poucos dias. Outra coisa. O pagamento é sempre antecipado. Teriam um prazo de 30 dias para cortar os anúncios. Isso é falta de respeito combo consumidor anunciante;Negativo
atendente super atencioso e simpático;Positivo
Atendimento da Hellen foi rápido e eficiente ????;Positivo
pronto atendimento, agilidade nas respostas;Positivo
Atendentes poderiam ser mais zelosos e esperar a resposta do cliente antes de encerrar o atendimento.;Negativo
O atendimento foi perfeito. Resolveu todas as minhas dúvidas.;Positivo
Minhas solicitações e dúvidas foram sanadas. Obrigado;Positivo
Tempo de espera muito grande;Negativo
Contratar mais colaboradores;Neutro
muita demora, precisam melhorar isso;Negativo
Oi;Neutro
Grato!;Positivo
O primeiro contato demorou um pouco;Neutro
Fui informado que recebi um e-mail, quando fui checar não havia recebido. O atendente poderia ter sugerido que recebi e pedido pra mim confirmar ao invés de ter afirmado, pois me induziu a achar que havia recebido o mesmo.;Neutro
Ainda;Neutro
"Leonardo é muito educado e prestativo, entendendo o que precisava e me passando rapidaente o caminho! Obriigada;";Positivo
Muito bom o atendimento da Viviane. Me atendeu rápido e foi eficaz, nota 10!;Positivo
A explicação foi muito boa, só demorou um pouco rsrs;Positivo
Obrigada;Positivo
Bom, gostaria que o canal pro tivesse mais comando nos anúncios passado para o canal da olx, pois um dos meus maiores problemas hoje está sendo essa falta de comando para a olx e tendo que ter auxílio do suporte para evitar constrangimentos.;Positivo
"Melhorar o app
Melhorar o contato com o cliente
Dar retorno em tempo";Neutro
O zap não dá um bom suporte aos seus clientes. Ficamos às escuras quanto as informações minimas;Positivo
Fui muito bem atendida e com rapidez;Positivo
Deveria ser possível falar com o atendente. Isso seria mais rápido;Neutro
O atendimento foi muito rápido e resolvei minhas dúvidas.;Positivo
ter consultores para negociar planos e condições de pagamentos com os clientes, de forma mais ágil.;Positivo
Atendimento rápido e eficaz;Positivo
Atendimento rápido e eficiente.;Positivo
"Vcs atendem muito bem, algumas deficiências e porquê eu sou ignorante na área de informática. 
Grata pela atenção";Positivo
A Glacy, foi super atenciosa, resolveu todas as minhas duvidas rápidamente. Atendimento excelente;Positivo
Respostas mais rápidas seria interessante;Positivo
Seria de muita importância vocês terem um contato direto para atendimento.;Positivo
achei maravilhoso o atendimento espero que continue assim;Positivo
Tenho muito mas agora não posso escrever ..: levando as crianças para a escola;Neutro
TERRÍVEL!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! HORRÍVEL!;Negativo
O atendimento foi rápido e resolvido de imediato. Excelente!;Positivo
o ZAP seguindo a OLX, se tornou um antro de golpistas, e ao que parece, vocês não fazem nada para apurar e reprimir os golpistas. Anúncios com preço muito a baixo do valor de mercado, com mais de um ano... precisavam ser melhor avaliados. Em cada anuncio deveria ter um botão para denunciar o anunciante, que no mínimo deveria prestar esclarecimentos, (o limite de caracteres não peri;Negativo
O wtendimento foi rápido e as respostas foram precisas para resolver meu problema. Agradeço o atendimento de vcs!;Positivo
Fiz contato para resolver um problema de uma certa urgência é a atendente foi excelente conseguiu me ajudar a resolver;Positivo
Unir todos os canais de WhatsApp em um só;Neutro
Muito ótimo;Positivo
nada a declarar;Neutro
Vou tentar fazer esse procedimento;Neutro
Usar menos termos técnicos ( tecnologia), o usuário nem sempre está familiarizado e precisa de resultados objetivos. Para o técnico e desenvolvedor do programa é tudo muito simples, diferente do Usuário.;Positivo
Mais autonomia no aplicativo e informação sobre tempo de atualização dos dados.;Positivo
estou gostando muito do atendimento, principalmente pq sou nova no portal então tenho muitaaas dúvidas, mas estou conseguindo esclarecer todas e o retorno está sendo muito rápido!;Positivo
fiquei 3 dias sem mídia. me deram o bônus de um super destaque e perdi porque acabaram com a promoção antes;Negativo
obg :);Positivo
Vão entrar em contato, estou aguardando.;Neutro
Atendimento rápido e objetivo. Obrigada!;Positivo
ótimo atendimento, rapidez.;Positivo
Ótimo atendimento;Positivo
o chat tem que ter mais atendentes;Negativo
não por culpa do atendente, mas sim por um sistema falho onde envia informações sobre recebimento de pagamento e bloqueia a conta por atraso. sem considera que o vencimento era dia 20(sábado) e o pagamento foi efetuado dia 23/5(terca), se o vencimento e sábado, teria a logica de pagar ate o dia 24/5;Negativo
Estou esperando a devolução do pagamento pois Zap não conseguiu publicar meu aviso.Fico no aguardo.;Negativo
efetuei o pagamento no dia 23/5 e hoje dia 24/5 tenho a conta bloqueada, isso é pessimo;Negativo
Meu plano foi cancelado sem aviso prévio, pensa em uma experiência ruim, no dia 22/05/23 descobrir que estava inadimplente, entrei no canal pro para fazer o pagamento via PIX estava liberado para pagar, após entrar em contato com canal de atendimento via WhatsApp vi que não era mais possível fazer o pagamento. Ficou claro a intenção de vocês em cancelar.;Negativo
Meu plano foi cancelado sem aviso prévio, pensa em uma experiência ruim, no dia 22/05/23 descobrir que estava inadimplente, entrei no canal pro para fazer o pagamento via PIX estava liberado para pagar, após entrar em contato com canal de atendimento via WhatsApp vi que não era mais possível fazer o pagamento. Ficou claro a intenção de vocês em cancelar.;Negativo
não, obrigado;Positivo
_Excelente atendimento!_;Positivo
Não precisam melhorar nada está ótimo;Positivo
Mais ou menos . Agora cancelam com 7 dias talvez experimente um concorrente. Mas só decidirei mês que vem;Neutro
Estou aguardando o contato para mudança de Filial, e até agora não fizeram contato.;Neutro
Dúvida esclarecida;Positivo
Atendimento rápido.;Positivo
Muito obrigada, pela prestatividade.;Positivo
A prestatividade faz toda diferença!;Positivo
A Viviane foi muito atenciosa.;Positivo
O feedback é muito demorado!;Negativo
Anúncios disponíveis a mais em fase de negociação ajuda todos a crescerem mais;Neutro
seria melhor atendimento on line ( fone );Neutro
Nada a declarar, supriu minhas dúvidas;Neutro
Melhorar o atendimento do zapway;Neutro
Precisa baixar o valor das mensalidades que estão caras e as vendas deram uma cauda por causa dos Juros altos.;Neutro
Parabéns na Thaísa pelo ótimo atendimento ??????;Positivo
Estou tentando entender baixo nível de chamadas, se mercado ou não, ainda não cheguei a im entendimento.;Neutro
Parabéns pelo objetividade;Positivo
Deveria ter um atendimento direto não robotizado;Neutro
"Minha sugestão. Rever o procedimento para pedido de venda e de locação, simplificando para evitar, o que anunciam ser muito simples, mas na realidade se leva um dia inteiro para uma ""simples"" solicitação de venda ou locação de um imóvel";Neutro
Naot sabia deste canal, tenho um outra zap de vcs mais nunca recebo resposta. A reduto que foi da pessoa que me vendeu.;Neutro
A Maria foi excelente e me motivou a reativar meu plano;Positivo
Rapida e eficiente;Positivo
Ótimo atendimento;Positivo
Atendimento do João foi ótimo.;Positivo
O atendimento via chat demora ter resposta.;Neutro
atendimento eficiente;Positivo
Agradeço pela atenção.;Positivo
Atendente atenciosa e eficiente;Positivo
"Abrir a torneirinha para todos 
Pois tds pagam pelo serviço 
E muitos só pagam e não tem cliente e lids tds os dias pq não aparece o anuncio como tem que aparecer";Neutro
Parabéns pelo atendimento;Positivo
Dias já tentando resolver problema com integração, e nada. Agora uma questão simples que outros portais conseguem resolver e vocês não. A ZAP tá deixando muito a desejar faz tempo!;Negativo
Foi um ótimo atendimento;Positivo
Estão de parabéns pela atenção.;Positivo
demora demais para o atendimnto, o que compensou foi o excelente atendimento da consultora;Positivo
Preciso atendimento comercial;Neutro
O Zap não deveria bloquear Anuncios se estão abaixo do mercado. Como vou divulgar agora?;Neutro
Pedro foi prestativo e conseguiu me atender mesmo eu não tendo o link do anuncio que precisava fazer a solicitação. Parabéns.;Positivo
falta um telefone pra contato;Neutro
Ótimo atendimento;Positivo
Estou satisfeita;Positivo
Rapidez;Positivo
Parabéns pelo pronto atendimento Sucesso a todos Deus abençoe;Positivo
É necessário tentar ajudar o cliente de alguma forma. Não responder o óbvio;Neutro
Gostei do atendimento.;Positivo
Fui bem atendida!;Positivo
Hoje o atendimento foi rápido, mas tem dias que demora demais.;Positivo
péssimo;Negativo
A atendente Rebeca me atendeu prontamente me auxiliando na resolução do meu problema, diferentemente de ontem que fiquei aguardando e não obtive retorno algum pela atendente Karen.;Positivo
Excelente atendimento;Positivo
Preciso que meu anúncio seja atualizado, porém, a atendente informou que pode demorar até 4 horas para a atualização ocorrer.;Neutro
Grande demora, na resposta que preciso com urgência.;Negativo
Excelente atendimento, ficou claro as duvidas que eu tinha;Positivo
prestativa e rápido no atendimento.;Positivo
"Bom atendimento.
Atendente muito prestativa... parabéns...";Positivo
Atendimento foi muito bom.;Positivo
O atentendo foi excelente, muito agil e profissional, fez os procedimentos para solucionar o meu problema, agora tenho só que aguardar para verificar se o problema foi corrigido.;Positivo
Ja pedi o cancelamento do contrato.;Neutro
Que atendimento?? Uma empresa que manda o cliente ficar 72h esperando uma ligação de retorno porque se nega a atender o cliente na hora que precisa. Ridículo e abusivo;Negativo
1 semana tentando fazer um anuncio, ou seja, quero gastar dinheiro com a empresa e sequer estão vendo meu caso.;Negativo
Your customer sent an unsupported message type. They can send the message as text or as an attachment.;Neutro
Atendimento rápido, só o atendimento telefônico que precisa ser melhor;Positivo
Atendente apto e atencioso;Positivo
atendimento pe lo whatsapp é péssimo, pelo e-mail então nem se fala, nota 0 para voces;Negativo
"Mandei 12 e-mail solicitando ajuda , não tive retorno de nenhum, no whatsapp o atendimento é péssimo 
nota 0 para voces";Negativo
Atendimento excelente da consultora. Porém o problema está na carga gerada para a grade do portal. Aguardo solução;Positivo
Pelo celular não consegui dar andamento na minha solicitação, apesar de o atendente mostrar que eu era o primeiro da fila. Só resolvi pelo computador, graças ao número que tinha há muito tempo no WhatsApp.;Neutro
Péssimo atendimento, não respondem e não solucionam o problema.;Negativo
